model,seed,test_acc,test_f1_OR,test_f1_CG,test_roc_auc,test_pr_auc,test_acc_cleaned
tfidf_logreg,1998,0.943120,0.944348,0.941835,0.987179,0.987662,0.942562
tfidf_linsvm,1998,0.949126,0.950225,0.947977,0.990067,0.990372,0.948626
tfidf_logreg,7,0.943120,0.944348,0.941835,0.987179,0.987662,0.942562
tfidf_linsvm,7,0.949126,0.950225,0.947977,0.990066,0.990372,0.948626
tfidf_logreg,42,0.943120,0.944348,0.941835,0.987179,0.987662,0.942562
tfidf_linsvm,42,0.949126,0.950225,0.947977,0.990067,0.990372,0.948626
tfidf_logreg,123,0.943120,0.944348,0.941835,0.987179,0.987662,0.942562
tfidf_linsvm,123,0.949126,0.950225,0.947977,0.990067,0.990372,0.948626
tfidf_logreg,2026,0.943120,0.944348,0.941835,0.987179,0.987662,0.942562
tfidf_linsvm,2026,0.949126,0.950225,0.947977,0.990066,0.990372,0.948626
tfidf_logreg_modern,1998,0.993816,0.993884,0.993747,0.999829,0.999828,0.993816
tfidf_linsvm_modern,1998,0.995053,0.995103,0.995002,0.999884,0.999883,0.995053
tfidf_logreg_modern,7,0.993816,0.993884,0.993747,0.999829,0.999828,0.993816
tfidf_linsvm_modern,7,0.995053,0.995103,0.995002,0.999884,0.999883,0.995053
tfidf_logreg_modern,42,0.993816,0.993884,0.993747,0.999829,0.999828,0.993816
tfidf_linsvm_modern,42,0.995053,0.995103,0.995002,0.999884,0.999883,0.995053
tfidf_logreg_modern,123,0.993816,0.993884,0.993747,0.999829,0.999828,0.993816
tfidf_linsvm_modern,123,0.995053,0.995103,0.995002,0.999884,0.999883,0.995053
tfidf_logreg_modern,2026,0.993816,0.993884,0.993747,0.999829,0.999828,0.993816
tfidf_linsvm_modern,2026,0.995053,0.995103,0.995002,0.999884,0.999883,0.995053
tfidf_logreg_ds,1998,0.988693,0.988827,0.988555,0.999246,0.999204,0.988693
tfidf_linsvm_ds,1998,0.990459,0.990566,0.990350,0.999391,0.999350,0.990459
tfidf_logreg_ds,7,0.988693,0.988827,0.988555,0.999246,0.999204,0.988693
tfidf_linsvm_ds,7,0.990459,0.990566,0.990350,0.999391,0.999350,0.990459
tfidf_logreg_ds,42,0.988693,0.988827,0.988555,0.999246,0.999204,0.988693
tfidf_linsvm_ds,42,0.990459,0.990566,0.990350,0.999391,0.999350,0.990459
tfidf_logreg_ds,123,0.988693,0.988827,0.988555,0.999246,0.999204,0.988693
tfidf_linsvm_ds,123,0.990459,0.990566,0.990350,0.999391,0.999350,0.990459
tfidf_logreg_ds,2026,0.988693,0.988827,0.988555,0.999246,0.999204,0.988693
tfidf_linsvm_ds,2026,0.990459,0.990566,0.990350,0.999391,0.999350,0.990459
